timestamp,station,latitude,longitude,total_gate_discharge_cusec,total_gate_discharge_m3s
23-10-2023 03:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
23-10-2023 04:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
23-10-2023 05:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 14:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 15:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 16:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 17:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 18:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 19:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 20:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 21:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 22:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
06-11-2023 23:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 00:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 01:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 02:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 03:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 04:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 05:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 06:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 07:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 08:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 09:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 10:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 11:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 12:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 13:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 14:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 15:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 16:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 17:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 18:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 19:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 20:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 21:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 22:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
07-11-2023 23:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
08-11-2023 00:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
08-11-2023 01:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
08-11-2023 02:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
08-11-2023 03:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
08-11-2023 04:00,Ujjani Dam_1,18.07402,75.12002,0.0,0.0
