time_s,time_min,reservoir_level_m,head_m,breach_discharge_m3s
0.0,0.0,496.83,51.329999999999984,18010.0
300.0,5.0,496.7808736363636,51.280873636363594,18010.0
600.0,10.0,496.7317472727272,51.231747272727205,18010.0
900.0,15.0,496.6826209090908,51.182620909090815,18010.0
1200.0,20.0,496.6334945454544,51.133494545454425,18010.0
1500.0,25.0,496.5843681818181,51.08436818181809,18010.0
1800.0,30.0,496.5352418181817,51.0352418181817,18010.0
2100.0,35.0,496.48611545454526,50.986115454545256,18010.0
2400.0,40.0,496.43698909090887,50.93698909090887,18010.0
2700.0,45.0,496.3878627272725,50.88786272727248,18010.0
3000.0,50.0,496.3387363636361,50.83873636363609,18010.0
3300.0,55.0,496.2896099999997,50.7896099999997,18010.0
3600.0,60.0,496.2404836363633,50.74048363636331,18010.0
3900.0,65.0,496.1913572727269,50.69135727272692,18010.0
4200.0,70.0,496.1422309090905,50.64223090909047,18010.0
4500.0,75.0,496.0931045454541,50.59310454545408,18010.0
4800.0,80.0,496.04397818181775,50.54397818181775,18010.0
5100.0,85.0,495.99485181818136,50.49485181818136,18010.0
5400.0,90.0,495.94572545454497,50.44572545454497,18010.0
5700.0,95.0,495.8965990909086,50.39659909090858,18010.0
6000.0,100.0,495.8474727272722,50.34747272727219,18010.0
6300.0,105.0,495.7983463636358,50.2983463636358,18010.0
6600.0,110.0,495.7492199999994,50.24921999999941,18010.0
6900.0,115.0,495.700093636363,50.20009363636302,18010.0
7200.0,120.0,495.6509672727266,50.150967272726575,18010.0
7500.0,125.0,495.60184090909024,50.10184090909024,18010.0
7800.0,130.0,495.55271454545385,50.05271454545385,18010.0
8100.0,135.0,495.5035881818175,50.00358818181752,18010.0
8400.0,140.0,495.4544618181811,49.95446181818107,18010.0
8700.0,145.0,495.4053354545447,49.905335454544684,18010.0
9000.0,150.0,495.3562090909083,49.856209090908294,18010.0
9300.0,155.0,495.3070827272719,49.807082727271904,18010.0
9600.0,160.0,495.2579563636355,49.757956363635515,18010.0
9900.0,165.0,495.2088299999991,49.708829999999125,18010.0
10200.0,170.0,495.15970363636274,49.659703636362735,18010.0
10500.0,175.0,495.1105772727264,49.6105772727264,18010.0
10800.0,180.0,495.06145090909,49.56145090909001,18010.0
11100.0,185.0,495.0123245454536,49.51232454545362,18010.0
11400.0,190.0,494.9631981818172,49.46319818181718,18010.0
11700.0,195.0,494.9140718181808,49.41407181818079,18010.0
12000.0,200.0,494.8649454545444,49.3649454545444,18010.0
12300.0,205.0,494.815819090908,49.31581909090801,18010.0
12600.0,210.0,494.7666927272716,49.26669272727162,18010.0
12900.0,215.0,494.7175663636352,49.21756636363523,18010.0
13200.0,220.0,494.6684399999989,49.168439999998895,18010.0
13500.0,225.0,494.6193136363625,49.119313636362506,18010.0
13800.0,230.0,494.57018727272606,49.07018727272606,18010.0
14100.0,235.0,494.52106090908967,49.02106090908967,18010.0
14400.0,240.0,494.4719345454533,48.97193454545328,18010.0
14700.0,245.0,494.4228081818169,48.92280818181689,18010.0
15000.0,250.0,494.3736818181805,48.8736818181805,18010.0
15300.0,255.0,494.3245554545441,48.82455545454411,18010.0
15600.0,260.0,494.2754290909077,48.77542909090772,18010.0
15900.0,265.0,494.2263027272713,48.726302727271275,18010.0
16200.0,270.0,494.1771763636349,48.677176363634885,18010.0
16500.0,275.0,494.12804999999855,48.62804999999855,18010.0
16800.0,280.0,494.07892363636216,48.57892363636216,18010.0
17100.0,285.0,494.0297972727258,48.52979727272577,18010.0
17400.0,290.0,493.9806709090894,48.48067090908938,18010.0
17700.0,295.0,493.931544545453,48.431544545452994,18010.0
18000.0,300.0,493.8824181818166,48.382418181816604,18010.0
18300.0,305.0,493.8332918181802,48.333291818180214,18010.0
18600.0,310.0,493.7841654545438,48.284165454543825,18010.0
18900.0,315.0,493.7350390909074,48.23503909090738,18010.0
19200.0,320.0,493.6859127272711,48.1859127272711,18010.0
19500.0,325.0,493.63678636363466,48.136786363634656,18010.0
19800.0,330.0,493.5876599999983,48.08765999999832,18010.0
20100.0,335.0,493.5385336363619,48.038533636361876,18010.0
20400.0,340.0,493.4894072727255,47.98940727272549,18010.0
20700.0,345.0,493.4402809090891,47.9402809090891,18010.0
21000.0,350.0,493.3911545454527,47.89115454545271,18010.0
21300.0,355.0,493.3420281818163,47.84202818181632,18010.0
21600.0,360.0,493.2929018181799,47.79290181817993,18010.0
